ChemicalName,DiseaseName,output,dataset,chemicalname
Cytarabine,Urinary Bladder Neoplasms,5.107272624969482,test,cytarabine
Cyclophosphamide,Melanoma,5.098089694976807,train,cyclophosphamide
Methamphetamine,Lung Neoplasms,5.094233512878418,test,methamphetamine
Prednisone,Breast Neoplasms,5.085146427154541,train,prednisone
Fluorouracil,Melanoma,5.0772480964660645,test,fluorouracil
Cyclophosphamide,Uterine Cervical Neoplasms,5.0630974769592285,train,cyclophosphamide
Prednisolone,Colonic Neoplasms,5.056959629058838,test,prednisolone
Methotrexate,Stomach Neoplasms,5.050064563751221,train,methotrexate
Ethylnitrosourea,Lung Neoplasms,5.047788143157959,train,ethylnitrosourea
Azathioprine,Lung Neoplasms,5.035156726837158,train,azathioprine
Niacin,Breast Neoplasms,5.022609710693359,train,niacin
Aspirin,Melanoma,5.020700931549072,test,aspirin
Thalidomide,Urinary Bladder Neoplasms,5.012650489807129,test,thalidomide
Doxycycline,Breast Neoplasms,5.012315273284912,train,doxycycline
Aspirin,Urinary Bladder Neoplasms,5.010343074798584,train,aspirin
Caffeine,Lung Neoplasms,5.004863262176514,train,caffeine
Theophylline,Lung Neoplasms,5.004226207733154,val,theophylline
Prednisolone,Melanoma,5.000675201416016,test,prednisolone
Doxorubicin,Colonic Neoplasms,5.0006184577941895,val,doxorubicin
Dexamethasone,Thyroid Neoplasms,4.990318775177002,test,dexamethasone
Leucovorin,Urinary Bladder Neoplasms,4.983847141265869,train,leucovorin
Paclitaxel,Urinary Bladder Neoplasms,4.982059955596924,train,paclitaxel
Cyclophosphamide,Colonic Neoplasms,4.980040073394775,test,cyclophosphamide
Dexamethasone,Stomach Neoplasms,4.977161884307861,test,dexamethasone
Metronidazole,Breast Neoplasms,4.976241588592529,test,metronidazole
Vincristine,Breast Neoplasms,4.971715450286865,train,vincristine
Azathioprine,Breast Neoplasms,4.9702982902526855,test,azathioprine
Rifampin,Melanoma,4.9675798416137695,test,rifampin
Resveratrol,Breast Neoplasms,4.96035623550415,train,resveratrol
Tretinoin,Lung Neoplasms,4.959192752838135,test,tretinoin
Prednisolone,Lung Neoplasms,4.958846569061279,test,prednisolone
Phenytoin,Colonic Neoplasms,4.955544948577881,test,phenytoin
Thalidomide,Melanoma,4.949696063995361,val,thalidomide
Indomethacin,Urinary Bladder Neoplasms,4.943114757537842,train,indomethacin
Rifampin,Breast Neoplasms,4.927931308746338,test,rifampin
Acetazolamide,Urinary Bladder Neoplasms,4.927371501922607,test,acetazolamide
bisphenol A,Breast Neoplasms,4.922634601593018,train,bisphenol a
Doxorubicin,Breast Neoplasms,4.916195392608643,train,doxorubicin
Pentoxifylline,Melanoma,4.915919303894043,test,pentoxifylline
Chloroquine,Melanoma,4.914527416229248,test,chloroquine
Fluorouracil,Urinary Bladder Neoplasms,4.903817653656006,train,fluorouracil
Paclitaxel,Melanoma,4.901756286621094,train,paclitaxel
Ibuprofen,Lung Neoplasms,4.899915218353272,test,ibuprofen
Resveratrol,Lung Neoplasms,4.889152526855469,train,resveratrol
Prednisone,Urinary Bladder Neoplasms,4.8887715339660645,train,prednisone
Ascorbic Acid,Breast Neoplasms,4.879527568817139,train,ascorbic acid
Phenobarbital,Breast Neoplasms,4.879077434539795,test,phenobarbital
Ribavirin,Melanoma,4.8730082511901855,test,ribavirin
Acyclovir,Breast Neoplasms,4.865614414215088,test,acyclovir
Bromocriptine,Breast Neoplasms,4.858324527740479,test,bromocriptine
Rifampin,Stomach Neoplasms,4.8577561378479,train,rifampin
Tretinoin,Stomach Neoplasms,4.857635498046875,train,tretinoin
Dexamethasone,Breast Neoplasms,4.855179786682129,val,dexamethasone
Vinorelbine,Melanoma,4.849477291107178,train,vinorelbine
Isotretinoin,Lung Neoplasms,4.847050189971924,train,isotretinoin
Cocaine,Lung Neoplasms,4.846640586853027,test,cocaine
Caffeine,Breast Neoplasms,4.845153331756592,train,caffeine
Tretinoin,"Carcinoma, Non-Small-Cell Lung",4.840974807739258,test,tretinoin
Doxorubicin,Lung Neoplasms,4.836839199066162,train,doxorubicin
Ketamine,Lung Neoplasms,4.83439302444458,test,ketamine
Cocaine,Colonic Neoplasms,4.825377464294434,test,cocaine
Imatinib Mesylate,Lung Neoplasms,4.824391841888428,train,imatinib mesylate
Dopamine,Lung Neoplasms,4.823742389678955,test,dopamine
Propylthiouracil,Lung Neoplasms,4.822982311248779,train,propylthiouracil
Buprenorphine,Urinary Bladder Neoplasms,4.812363147735596,test,buprenorphine
Aspirin,Stomach Neoplasms,4.812352657318115,train,aspirin
Niacin,Urinary Bladder Neoplasms,4.811121463775635,test,niacin
perfluorooctanoic acid,Lung Neoplasms,4.803384304046631,test,perfluorooctanoic acid
Cytarabine,Colonic Neoplasms,4.799150943756104,test,cytarabine
Tacrolimus,Breast Neoplasms,4.797263622283936,test,tacrolimus
Cyclophosphamide,Pancreatic Neoplasms,4.788988590240479,train,cyclophosphamide
Rifampin,Colonic Neoplasms,4.788553714752197,test,rifampin
Phenytoin,Ovarian Neoplasms,4.788220882415772,test,phenytoin
Tretinoin,Melanoma,4.787079811096191,train,tretinoin
Ceftriaxone,Lung Neoplasms,4.782764911651611,test,ceftriaxone
Carbamazepine,Lung Neoplasms,4.774103164672852,test,carbamazepine
Phenoxybenzamine,Lung Neoplasms,4.769501209259033,test,phenoxybenzamine
Amoxicillin-Potassium Clavulanate Combination,Breast Neoplasms,4.7693867683410645,test,amoxicillin-potassium clavulanate combination
Vancomycin,Breast Neoplasms,4.767336368560791,test,vancomycin
Dexamethasone,Ovarian Neoplasms,4.760863304138184,test,dexamethasone
Tamoxifen,Breast Neoplasms,4.759323596954346,train,tamoxifen
Valproic Acid,Melanoma,4.75503396987915,test,valproic acid
Cyclophosphamide,Esophageal Neoplasms,4.753997325897217,train,cyclophosphamide
Ceftriaxone,Breast Neoplasms,4.750734329223633,test,ceftriaxone
Enalapril,Breast Neoplasms,4.744174480438232,test,enalapril
Rifampin,Lung Neoplasms,4.743505954742432,test,rifampin
Disulfiram,Breast Neoplasms,4.743351459503174,val,disulfiram
Azathioprine,Melanoma,4.741270065307617,test,azathioprine
Topiramate,Breast Neoplasms,4.740100383758545,test,topiramate
Docetaxel,Melanoma,4.738321304321289,train,docetaxel
Cocaine,Uterine Cervical Neoplasms,4.737756252288818,test,cocaine
Prednisone,Melanoma,4.730793476104736,test,prednisone
Sulfasalazine,Melanoma,4.7291107177734375,test,sulfasalazine
Sirolimus,Breast Neoplasms,4.728269100189209,test,sirolimus
Thalidomide,Lung Neoplasms,4.727114200592041,val,thalidomide
Furosemide,Urinary Bladder Neoplasms,4.725377082824707,test,furosemide
Cytarabine,"Carcinoma, Non-Small-Cell Lung",4.722217082977295,test,cytarabine
Ribavirin,Lung Neoplasms,4.718038082122803,test,ribavirin
Methotrexate,"Carcinoma, Hepatocellular",4.717920780181885,val,methotrexate
Phenytoin,Urinary Bladder Neoplasms,4.717466354370117,test,phenytoin
Valproic Acid,Colonic Neoplasms,4.715243816375732,test,valproic acid
Piroxicam,Lung Neoplasms,4.715218544006348,train,piroxicam
Docetaxel,Breast Neoplasms,4.713670253753662,train,docetaxel
Paclitaxel,Breast Neoplasms,4.712437629699707,train,paclitaxel
Methamphetamine,Colonic Neoplasms,4.703338146209717,test,methamphetamine
Theophylline,Melanoma,4.701739311218262,train,theophylline
Methotrexate,Ovarian Neoplasms,4.699783802032471,train,methotrexate
Prednisone,Lung Neoplasms,4.699692726135254,test,prednisone
Morphine,Breast Neoplasms,4.697776317596436,test,morphine
Theophylline,Breast Neoplasms,4.697378635406494,test,theophylline
Pentoxifylline,Breast Neoplasms,4.693614482879639,test,pentoxifylline
Cefixime,Breast Neoplasms,4.689150333404541,test,cefixime
Crack Cocaine,Urinary Bladder Neoplasms,4.685848236083984,test,crack cocaine
Methylprednisolone,Urinary Bladder Neoplasms,4.682337284088135,test,methylprednisolone
Crack Cocaine,Breast Neoplasms,4.680334568023682,test,crack cocaine
Mitomycin,Breast Neoplasms,4.676921367645264,val,mitomycin
Vitamin E,Lung Neoplasms,4.6759114265441895,train,vitamin e
Cyclophosphamide,Urinary Bladder Neoplasms,4.675772190093994,train,cyclophosphamide
Indomethacin,Colonic Neoplasms,4.670210361480713,train,indomethacin
Dexamethasone,"Carcinoma, Hepatocellular",4.667001724243164,val,dexamethasone
Testosterone,Lung Neoplasms,4.6659674644470215,test,testosterone
Imipramine,Lung Neoplasms,4.665716648101807,test,imipramine
Caffeine,Colonic Neoplasms,4.665024280548096,train,caffeine
Ketamine,Melanoma,4.66424036026001,test,ketamine
Metoclopramide,Breast Neoplasms,4.658944129943848,test,metoclopramide
Leucovorin,Breast Neoplasms,4.658454895019531,train,leucovorin
Vinorelbine,Breast Neoplasms,4.657344818115234,train,vinorelbine
Ketamine,Breast Neoplasms,4.650716781616211,train,ketamine
Tretinoin,Colonic Neoplasms,4.645784854888916,test,tretinoin
Tacrolimus,Colonic Neoplasms,4.645581245422363,test,tacrolimus
Ibuprofen,Breast Neoplasms,4.644318103790283,test,ibuprofen
Ofloxacin,Lung Neoplasms,4.643989562988281,test,ofloxacin
Rifampin,Urinary Bladder Neoplasms,4.641742706298828,test,rifampin
Clofibrate,Breast Neoplasms,4.640769481658936,test,clofibrate
Chlorpyrifos,Thyroid Neoplasms,4.6407084465026855,test,chlorpyrifos
Tretinoin,Urinary Bladder Neoplasms,4.639840126037598,test,tretinoin
Aspirin,Ovarian Neoplasms,4.639464855194092,test,aspirin
Dexamethasone,Urinary Bladder Neoplasms,4.639122486114502,test,dexamethasone
Cocaine,"Carcinoma, Non-Small-Cell Lung",4.638086318969727,test,cocaine
Prednisolone,Breast Neoplasms,4.63505220413208,train,prednisolone
Azathioprine,Urinary Bladder Neoplasms,4.633001804351807,train,azathioprine
Paclitaxel,Lung Neoplasms,4.632625102996826,val,paclitaxel
Morphine,Melanoma,4.630717754364014,test,morphine
Nitrofurantoin,Breast Neoplasms,4.626461505889893,test,nitrofurantoin
Theophylline,Urinary Bladder Neoplasms,4.621104717254639,test,theophylline
Methimazole,Urinary Bladder Neoplasms,4.620920181274414,test,methimazole
Amiodarone,Colonic Neoplasms,4.620723247528076,test,amiodarone
Furosemide,Breast Neoplasms,4.618283748626709,test,furosemide
Calcitriol,Breast Neoplasms,4.617464542388916,train,calcitriol
Tolmetin,Urinary Bladder Neoplasms,4.611613750457764,test,tolmetin
Acyclovir,Melanoma,4.608778476715088,test,acyclovir
Melatonin,Urinary Bladder Neoplasms,4.608017444610596,test,melatonin
Furosemide,Lung Neoplasms,4.606915473937988,test,furosemide
Tacrolimus,Lung Neoplasms,4.605901718139648,test,tacrolimus
nimesulide,Lung Neoplasms,4.604453086853027,test,nimesulide
Sulfasalazine,Urinary Bladder Neoplasms,4.604154586791992,test,sulfasalazine
Niclosamide,Lung Neoplasms,4.603651523590088,test,niclosamide
Dacarbazine,Melanoma,4.602156639099121,train,dacarbazine
Acyclovir,Urinary Bladder Neoplasms,4.60117244720459,test,acyclovir
Paroxetine,Melanoma,4.600222587585449,test,paroxetine
Phenytoin,Small Cell Lung Carcinoma,4.59984827041626,test,phenytoin
Acitretin,Lung Neoplasms,4.598461151123047,test,acitretin
Tacrolimus,Melanoma,4.593737602233887,test,tacrolimus
Desipramine,Lung Neoplasms,4.593198776245117,test,desipramine
Pentoxifylline,Urinary Bladder Neoplasms,4.592908382415772,test,pentoxifylline
Etoposide,Breast Neoplasms,4.59121561050415,train,etoposide
Ascorbic Acid,"Carcinoma, Hepatocellular",4.590565204620361,train,ascorbic acid
Ergotamine,Urinary Bladder Neoplasms,4.589457988739014,test,ergotamine
Thalidomide,"Carcinoma, Non-Small-Cell Lung",4.585958957672119,train,thalidomide
Acetaminophen,Urinary Bladder Neoplasms,4.584704875946045,train,acetaminophen
Tretinoin,Pancreatic Neoplasms,4.584653377532959,train,tretinoin
Phenytoin,Glioblastoma,4.584415912628174,test,phenytoin
Levodopa,Breast Neoplasms,4.582986354827881,test,levodopa
Capecitabine,Breast Neoplasms,4.582092761993408,train,capecitabine
Propofol,Breast Neoplasms,4.5820136070251465,test,propofol
Simvastatin,Thyroid Neoplasms,4.579453468322754,test,simvastatin
Diethylnitrosamine,Pancreatic Neoplasms,4.577120780944824,train,diethylnitrosamine
Cyclophosphamide,Ovarian Neoplasms,4.576980113983154,train,cyclophosphamide
Diethylstilbestrol,Melanoma,4.576536655426025,train,diethylstilbestrol
Minocycline,Breast Neoplasms,4.5756144523620605,test,minocycline
Mitoxantrone,Colonic Neoplasms,4.575118541717529,test,mitoxantrone
bisphenol A,Urinary Bladder Neoplasms,4.573864459991455,val,bisphenol a
Naloxone,Breast Neoplasms,4.57156229019165,test,naloxone
Resveratrol,Stomach Neoplasms,4.571090221405029,val,resveratrol
Fluorouracil,Colonic Neoplasms,4.569956302642822,train,fluorouracil
Quercetin,Breast Neoplasms,4.569621562957764,train,quercetin
Methimazole,Breast Neoplasms,4.56946325302124,test,methimazole
Resveratrol,Testicular Neoplasms,4.567368507385254,test,resveratrol
Methotrexate,Uterine Cervical Neoplasms,4.56658935546875,train,methotrexate
"2',3-dimethyl-4-aminobiphenyl",Lung Neoplasms,4.566473484039307,val,"2',3-dimethyl-4-aminobiphenyl"
Tretinoin,Breast Neoplasms,4.563896656036377,train,tretinoin
Dactinomycin,Lung Neoplasms,4.563577175140381,test,dactinomycin
perfluorooctanoic acid,Breast Neoplasms,4.56348180770874,train,perfluorooctanoic acid
nimesulide,Breast Neoplasms,4.562669277191162,val,nimesulide
Resveratrol,Esophageal Neoplasms,4.560134410858154,train,resveratrol
Cyclophosphamide,"Carcinoma, Non-Small-Cell Lung",4.560117244720459,test,cyclophosphamide
Lorazepam,Breast Neoplasms,4.55957555770874,test,lorazepam
Ketamine,Urinary Bladder Neoplasms,4.558321952819824,test,ketamine
Methamphetamine,Breast Neoplasms,4.556884765625,train,methamphetamine
Propylthiouracil,Breast Neoplasms,4.553516864776611,test,propylthiouracil
Methylprednisolone,Colonic Neoplasms,4.549160480499268,test,methylprednisolone
Paclitaxel,Stomach Neoplasms,4.54681396484375,val,paclitaxel
bisphenol A,Melanoma,4.546355247497559,test,bisphenol a
Amoxicillin-Potassium Clavulanate Combination,Lung Neoplasms,4.543579578399658,test,amoxicillin-potassium clavulanate combination
Resveratrol,"Carcinoma, Hepatocellular",4.543308258056641,train,resveratrol
Estradiol,Breast Neoplasms,4.541566371917725,train,estradiol
Thalidomide,Stomach Neoplasms,4.541135787963867,test,thalidomide
Prednisone,Ovarian Neoplasms,4.540524005889893,test,prednisone
Ascorbic Acid,Stomach Neoplasms,4.53998327255249,val,ascorbic acid
Nifedipine,Lung Neoplasms,4.539161205291748,test,nifedipine
Physostigmine,Breast Neoplasms,4.536877155303955,test,physostigmine
Cyclosporine,Urinary Bladder Neoplasms,4.53679895401001,test,cyclosporine
Hexachlorobenzene,Breast Neoplasms,4.535183429718018,train,hexachlorobenzene
urovision,Lung Neoplasms,4.534780025482178,test,urovision
Cocaine,Thyroid Neoplasms,4.534168720245361,test,cocaine
Trichloroethylene,Lung Neoplasms,4.533976078033447,test,trichloroethylene
Tretinoin,Thyroid Neoplasms,4.532140731811523,train,tretinoin
Theophylline,Colonic Neoplasms,4.530556201934815,test,theophylline
Ascorbic Acid,Urinary Bladder Neoplasms,4.529939651489258,val,ascorbic acid
Tamoxifen,Lung Neoplasms,4.529180526733398,val,tamoxifen
Gemcitabine,Urinary Bladder Neoplasms,4.527228832244873,train,gemcitabine
Estrogens,Breast Neoplasms,4.527170658111572,train,estrogens
Penicillamine,Urinary Bladder Neoplasms,4.5269083976745605,test,penicillamine
Niacin,Melanoma,4.5258097648620605,test,niacin
Methylprednisolone,Breast Neoplasms,4.522270679473877,test,methylprednisolone
Norethindrone,Breast Neoplasms,4.521451473236084,test,norethindrone
Enalapril,"Carcinoma, Non-Small-Cell Lung",4.520057201385498,test,enalapril
Phenobarbital,Melanoma,4.519052028656006,test,phenobarbital
Famotidine,Breast Neoplasms,4.518521308898926,train,famotidine
Gemcitabine,Melanoma,4.517744541168213,train,gemcitabine
Sulfasalazine,Breast Neoplasms,4.516817569732666,train,sulfasalazine
Gemcitabine,Lung Neoplasms,4.515356540679932,train,gemcitabine
Phenytoin,Thyroid Neoplasms,4.514427661895752,test,phenytoin
Floxuridine,Breast Neoplasms,4.505571842193604,test,floxuridine
Phenylbutazone,Breast Neoplasms,4.50437593460083,test,phenylbutazone
Cyclophosphamide,Sarcoma,4.500106334686279,train,cyclophosphamide
trichostatin A,Lung Neoplasms,4.4987616539001465,train,trichostatin a
Tretinoin,Ovarian Neoplasms,4.498244762420654,train,tretinoin
Vinorelbine,"Carcinoma, Non-Small-Cell Lung",4.497450828552246,val,vinorelbine
Primidone,Breast Neoplasms,4.496914386749268,test,primidone
Warfarin,Urinary Bladder Neoplasms,4.496326446533203,train,warfarin
Methamphetamine,Melanoma,4.4962477684021,test,methamphetamine
Chloroquine,Breast Neoplasms,4.493540287017822,train,chloroquine
mangiferin,Breast Neoplasms,4.493223667144775,test,mangiferin
Cyclosporine,Melanoma,4.493101119995117,test,cyclosporine
Indomethacin,Lung Neoplasms,4.4910149574279785,train,indomethacin
Cyclophosphamide,Pheochromocytoma,4.490232944488525,test,cyclophosphamide
Gemcitabine,Stomach Neoplasms,4.485649108886719,test,gemcitabine
Theophylline,Ovarian Neoplasms,4.483706951141357,test,theophylline
Chlorpromazine,Colonic Neoplasms,4.4834065437316895,test,chlorpromazine
Diazepam,Breast Neoplasms,4.482223033905029,test,diazepam
Linezolid,Lung Neoplasms,4.481863975524902,test,linezolid
Ofloxacin,Breast Neoplasms,4.481586933135986,test,ofloxacin
Medroxyprogesterone Acetate,Breast Neoplasms,4.48061466217041,train,medroxyprogesterone acetate
Gemcitabine,Uterine Cervical Neoplasms,4.480598449707031,train,gemcitabine
Methimazole,Melanoma,4.479292869567871,test,methimazole
Progesterone,Lung Neoplasms,4.477334022521973,test,progesterone
Docetaxel,Lung Neoplasms,4.474916458129883,train,docetaxel
Enalapril,Urinary Bladder Neoplasms,4.474733829498291,test,enalapril
metolachlor,Lung Neoplasms,4.474434852600098,train,metolachlor
Cyclophosphamide,Stomach Neoplasms,4.474392414093018,test,cyclophosphamide
thymoquinone,Urinary Bladder Neoplasms,4.473265171051025,test,thymoquinone
Phenytoin,Melanoma,4.473172187805176,test,phenytoin
"2-amino-1-methyl-6-phenylimidazo(4,5-b)pyridine",Breast Neoplasms,4.470825672149658,train,"2-amino-1-methyl-6-phenylimidazo(4,5-b)pyridine"
Diclofenac,Lung Neoplasms,4.469051837921143,test,diclofenac
Paroxetine,Breast Neoplasms,4.467708110809326,test,paroxetine
Azacitidine,Breast Neoplasms,4.467060565948486,test,azacitidine
Cholecalciferol,Breast Neoplasms,4.466142177581787,test,cholecalciferol
Fluoxetine,Lung Neoplasms,4.46592378616333,test,fluoxetine
Ribavirin,Urinary Bladder Neoplasms,4.464522838592529,test,ribavirin
Lovastatin,Colonic Neoplasms,4.4633564949035645,train,lovastatin
Medroxyprogesterone Acetate,Lung Neoplasms,4.462468147277832,test,medroxyprogesterone acetate
epigallocatechin gallate,Melanoma,4.4624505043029785,train,epigallocatechin gallate
Leucovorin,Melanoma,4.4623565673828125,test,leucovorin
Nifedipine,Breast Neoplasms,4.461349487304688,test,nifedipine
Ribavirin,"Carcinoma, Non-Small-Cell Lung",4.460663318634033,test,ribavirin
Dactinomycin,Melanoma,4.460194110870361,train,dactinomycin
Thalidomide,Colonic Neoplasms,4.460135459899902,train,thalidomide
Acyclovir,Stomach Neoplasms,4.459513187408447,test,acyclovir
Alfentanil,Breast Neoplasms,4.459305286407471,test,alfentanil
Phenytoin,Stomach Neoplasms,4.459020137786865,test,phenytoin
Teicoplanin,Lung Neoplasms,4.457976818084717,test,teicoplanin
Aspirin,Colonic Neoplasms,4.456829071044922,train,aspirin
Isoproterenol,Urinary Bladder Neoplasms,4.456719398498535,test,isoproterenol
Epinephrine,Breast Neoplasms,4.455892562866211,test,epinephrine
Topiramate,Melanoma,4.454050540924072,test,topiramate
Leucovorin,Lung Neoplasms,4.4536967277526855,train,leucovorin
Ethylene Oxide,Lung Neoplasms,4.453068256378174,train,ethylene oxide
Metronidazole,Melanoma,4.4521307945251465,test,metronidazole
beta Carotene,Lung Neoplasms,4.446537017822266,train,beta carotene
Cyclophosphamide,"Carcinoma, Hepatocellular",4.444002628326416,val,cyclophosphamide
Benzene,Melanoma,4.443552970886231,test,benzene
Vancomycin,Lung Neoplasms,4.443106651306152,test,vancomycin
Ascorbic Acid,Ovarian Neoplasms,4.441804885864258,test,ascorbic acid
Curcumin,Pancreatic Neoplasms,4.441522121429443,val,curcumin
Fluorouracil,Lung Neoplasms,4.44116735458374,train,fluorouracil
Azathioprine,Colonic Neoplasms,4.440508365631104,train,azathioprine
Acetazolamide,Breast Neoplasms,4.440356731414795,test,acetazolamide
Minocycline,Lung Neoplasms,4.438988208770752,test,minocycline
Hydrochlorothiazide,Breast Neoplasms,4.437759876251221,test,hydrochlorothiazide
Cocaine,Esophageal Neoplasms,4.437721252441406,train,cocaine
Lovastatin,Lung Neoplasms,4.437242031097412,test,lovastatin
Losartan,Breast Neoplasms,4.436832904815674,test,losartan
Zidovudine,Lung Neoplasms,4.435256004333496,val,zidovudine
Hydrocortisone,"Carcinoma, Hepatocellular",4.431521892547607,test,hydrocortisone
Rosiglitazone,Breast Neoplasms,4.430168628692627,val,rosiglitazone
Acetaminophen,Stomach Neoplasms,4.427015781402588,test,acetaminophen
Ranitidine,Lung Neoplasms,4.426659107208252,test,ranitidine
Daunorubicin,Melanoma,4.426102161407471,test,daunorubicin
Phenacetin,Lung Neoplasms,4.425241947174072,test,phenacetin
Ifosfamide,Lung Neoplasms,4.422450542449951,train,ifosfamide
Doxycycline,Colonic Neoplasms,4.422424793243408,test,doxycycline
Acetazolamide,Melanoma,4.419212818145752,test,acetazolamide
Verapamil,Breast Neoplasms,4.419017791748047,train,verapamil
Verapamil,Lung Neoplasms,4.418101787567139,test,verapamil
Curcumin,Colonic Neoplasms,4.417849063873291,train,curcumin
Carbamazepine,Urinary Bladder Neoplasms,4.416984081268311,test,carbamazepine
Ergocalciferols,Lung Neoplasms,4.416876792907715,test,ergocalciferols
Tacrolimus,Urinary Bladder Neoplasms,4.41030740737915,test,tacrolimus
Erythromycin,Urinary Bladder Neoplasms,4.404303073883057,test,erythromycin
Prednisone,Stomach Neoplasms,4.404294013977051,test,prednisone
Mycophenolic Acid,Breast Neoplasms,4.401059150695801,test,mycophenolic acid
Phenytoin,"Sarcoma, Experimental",4.39979887008667,test,phenytoin
Amiodarone,Urinary Bladder Neoplasms,4.399069309234619,test,amiodarone
Folic Acid,Breast Neoplasms,4.398130893707275,train,folic acid
Paclitaxel,Ovarian Neoplasms,4.397980213165283,train,paclitaxel
adefovir dipivoxil,Breast Neoplasms,4.397974967956543,test,adefovir dipivoxil
Risperidone,Urinary Bladder Neoplasms,4.397919178009033,test,risperidone
Acetazolamide,Colonic Neoplasms,4.397899150848389,test,acetazolamide
Paclitaxel,Colonic Neoplasms,4.393255233764648,test,paclitaxel
Ciprofloxacin,Urinary Bladder Neoplasms,4.3907389640808105,train,ciprofloxacin
Epinephrine,Melanoma,4.385815143585205,test,epinephrine
Adenosine,Breast Neoplasms,4.385169506072998,test,adenosine
Zidovudine,Breast Neoplasms,4.385155200958252,train,zidovudine
Nicotine,Lung Neoplasms,4.383392333984375,train,nicotine
candesartan,Breast Neoplasms,4.382488250732422,test,candesartan
Cefotaxime,Lung Neoplasms,4.382485866546631,test,cefotaxime
Thiotepa,Urinary Bladder Neoplasms,4.3815016746521,val,thiotepa
Methimazole,Lung Neoplasms,4.380539417266846,test,methimazole
Dextrans,Breast Neoplasms,4.380093097686768,test,dextrans
Mitomycin,Lung Neoplasms,4.379406452178955,train,mitomycin
Estradiol,Lung Neoplasms,4.379136562347412,test,estradiol
Ascorbic Acid,Colonic Neoplasms,4.37899923324585,test,ascorbic acid
Aldosterone,Breast Neoplasms,4.378970623016357,val,aldosterone
Risperidone,Melanoma,4.377265930175781,test,risperidone
Etodolac,Lung Neoplasms,4.376591205596924,test,etodolac
Calcifediol,Lung Neoplasms,4.37654447555542,test,calcifediol
Gemcitabine,Colonic Neoplasms,4.376099109649658,test,gemcitabine
Phenelzine,Breast Neoplasms,4.375434875488281,test,phenelzine
Docetaxel,Urinary Bladder Neoplasms,4.374475002288818,train,docetaxel
Ethambutol,Breast Neoplasms,4.373458385467529,test,ethambutol
Risperidone,Breast Neoplasms,4.373223781585693,test,risperidone
Methylprednisolone,Ovarian Neoplasms,4.37296724319458,test,methylprednisolone
Dacarbazine,Breast Neoplasms,4.372205257415772,train,dacarbazine
Amitriptyline,Breast Neoplasms,4.371351718902588,test,amitriptyline
"4,4'-diaminodiphenylmethane",Lung Neoplasms,4.3700852394104,test,"4,4'-diaminodiphenylmethane"
Arecoline,Lung Neoplasms,4.369870662689209,test,arecoline
Omeprazole,Lung Neoplasms,4.369221687316895,val,omeprazole
Vitamin E,Breast Neoplasms,4.367673397064209,train,vitamin e
