ChemicalName,DiseaseName,output,dataset,chemicalname
Paclitaxel,Lung Neoplasms,4.249377727508545,val,paclitaxel
Dichlorvos,Lung Neoplasms,4.2484564781188965,test,dichlorvos
Phenobarbital,Lung Neoplasms,4.246864318847656,train,phenobarbital
Medroxyprogesterone Acetate,Lung Neoplasms,4.244447708129883,test,medroxyprogesterone acetate
Ciprofloxacin,Melanoma,4.231149196624756,test,ciprofloxacin
Resveratrol,Lung Neoplasms,4.228562831878662,train,resveratrol
Bromocriptine,Lung Neoplasms,4.220301628112793,test,bromocriptine
Ceftriaxone,Lung Neoplasms,4.217045783996582,test,ceftriaxone
Metronidazole,Stomach Neoplasms,4.214968204498291,test,metronidazole
Streptozocin,Melanoma,4.204954147338867,test,streptozocin
Amphotericin B,Lung Neoplasms,4.192610740661621,test,amphotericin b
Azathioprine,Stomach Neoplasms,4.190548419952393,test,azathioprine
Vincristine,Stomach Neoplasms,4.189847946166992,test,vincristine
Simvastatin,Melanoma,4.185942649841309,test,simvastatin
Nicotine,Lung Neoplasms,4.185174465179443,train,nicotine
Ciprofloxacin,Lung Neoplasms,4.179660797119141,train,ciprofloxacin
Gentamicins,Melanoma,4.171998500823975,test,gentamicins
Dapsone,Melanoma,4.169446468353272,test,dapsone
Carbamazepine,Melanoma,4.168033599853516,test,carbamazepine
Carbamazepine,"Carcinoma, Hepatocellular",4.166658878326416,test,carbamazepine
Prednisone,Lung Neoplasms,4.156960964202881,test,prednisone
Valproic Acid,Urinary Bladder Neoplasms,4.150356769561768,test,valproic acid
Vitamin E,Lung Neoplasms,4.144286632537842,train,vitamin e
Capsaicin,Melanoma,4.13923978805542,test,capsaicin
Gemcitabine,Lung Neoplasms,4.137622356414795,train,gemcitabine
Minocycline,Melanoma,4.136135101318359,test,minocycline
Fluorouracil,Urinary Bladder Neoplasms,4.134433269500732,train,fluorouracil
Cyclophosphamide,Lung Neoplasms,4.134207725524902,val,cyclophosphamide
Vincristine,Colonic Neoplasms,4.128512382507324,test,vincristine
Paclitaxel,Colonic Neoplasms,4.118617057800293,test,paclitaxel
Amphetamine,Stomach Neoplasms,4.118529796600342,test,amphetamine
Melatonin,Stomach Neoplasms,4.113645553588867,test,melatonin
Aspirin,Colonic Neoplasms,4.11131763458252,train,aspirin
Leucovorin,Lung Neoplasms,4.106289386749268,train,leucovorin
Cytarabine,Stomach Neoplasms,4.104986667633057,test,cytarabine
"Trimethoprim, Sulfamethoxazole Drug Combination",Lung Neoplasms,4.103970527648926,test,"trimethoprim, sulfamethoxazole drug combination"
Cocaine,Colonic Neoplasms,4.101016521453857,test,cocaine
Sulfasalazine,Lung Neoplasms,4.099413871765137,test,sulfasalazine
Isoniazid,Lung Neoplasms,4.091287612915039,train,isoniazid
Simvastatin,Lung Neoplasms,4.0906596183776855,test,simvastatin
Propranolol,Lung Neoplasms,4.088311672210693,test,propranolol
Ribavirin,Melanoma,4.086909770965576,test,ribavirin
Chloramphenicol,Lung Neoplasms,4.0854902267456055,test,chloramphenicol
Paclitaxel,Melanoma,4.084314823150635,train,paclitaxel
Cytarabine,Urinary Bladder Neoplasms,4.082833766937256,test,cytarabine
Hydroxyurea,Lung Neoplasms,4.078738212585449,test,hydroxyurea
Fluorouracil,Melanoma,4.077719211578369,test,fluorouracil
Capsaicin,Lung Neoplasms,4.075544357299805,train,capsaicin
Methotrexate,"Carcinoma, Hepatocellular",4.07546854019165,val,methotrexate
Metformin,Lung Neoplasms,4.073119640350342,train,metformin
Lidocaine,Lung Neoplasms,4.068996429443359,test,lidocaine
Ribavirin,Stomach Neoplasms,4.063764572143555,test,ribavirin
Caffeine,Lung Neoplasms,4.061064720153809,train,caffeine
bisphenol A,Stomach Neoplasms,4.060129165649414,test,bisphenol a
Acetaminophen,Lung Neoplasms,4.060086250305176,test,acetaminophen
Cyclosporine,Lung Neoplasms,4.059858798980713,test,cyclosporine
Doxycycline,Lung Neoplasms,4.059587001800537,test,doxycycline
Methadone,Melanoma,4.054732799530029,test,methadone
Amitriptyline,Lung Neoplasms,4.0526299476623535,test,amitriptyline
Enalapril,Lung Neoplasms,4.047232151031494,test,enalapril
Valproic Acid,Stomach Neoplasms,4.046312808990479,test,valproic acid
geraniol,Lung Neoplasms,4.044190406799316,train,geraniol
Carboplatin,Melanoma,4.043507099151611,train,carboplatin
Indomethacin,Stomach Neoplasms,4.043307304382324,train,indomethacin
Estrogens,Melanoma,4.041131496429443,test,estrogens
Methadone,Colonic Neoplasms,4.039862632751465,test,methadone
Diethylhexyl Phthalate,Lung Neoplasms,4.0390801429748535,test,diethylhexyl phthalate
Deferoxamine,Lung Neoplasms,4.0361409187316895,test,deferoxamine
Warfarin,Stomach Neoplasms,4.034668445587158,test,warfarin
Cimetidine,Lung Neoplasms,4.033746719360352,train,cimetidine
Probenecid,Melanoma,4.0316572189331055,test,probenecid
Vincristine,Urinary Bladder Neoplasms,4.025434494018555,train,vincristine
Metronidazole,Lung Neoplasms,4.024787902832031,test,metronidazole
Naproxen,Lung Neoplasms,4.024035453796387,train,naproxen
Vancomycin,Lung Neoplasms,4.023512363433838,test,vancomycin
Medroxyprogesterone Acetate,Melanoma,4.023255348205566,test,medroxyprogesterone acetate
Melatonin,Lung Neoplasms,4.022998332977295,train,melatonin
Cyclosporine,Melanoma,4.020873546600342,test,cyclosporine
Dexamethasone,Colonic Neoplasms,4.019384860992432,train,dexamethasone
Nitric Oxide,Lung Neoplasms,4.018223285675049,test,nitric oxide
Methyldopa,Lung Neoplasms,4.01544189453125,test,methyldopa
Tretinoin,Lung Neoplasms,4.011858940124512,test,tretinoin
Oxcarbazepine,Lung Neoplasms,4.010669708251953,test,oxcarbazepine
Bleomycin,Lung Neoplasms,4.009897708892822,train,bleomycin
Carboplatin,Urinary Bladder Neoplasms,4.005452632904053,val,carboplatin
Paclitaxel,Urinary Bladder Neoplasms,4.0004963874816895,train,paclitaxel
Dexamethasone,Melanoma,3.999812841415405,test,dexamethasone
Testosterone,Melanoma,3.997492790222168,test,testosterone
Methylprednisolone,Lung Neoplasms,3.993152141571045,test,methylprednisolone
Thalidomide,Stomach Neoplasms,3.992564201354981,test,thalidomide
Gemcitabine,Urinary Bladder Neoplasms,3.991905927658081,train,gemcitabine
Ibuprofen,Melanoma,3.981610774993897,test,ibuprofen
sodium arsenite,Lung Neoplasms,3.9775428771972656,train,sodium arsenite
Etoposide,Melanoma,3.975122213363648,test,etoposide
Phenelzine,Lung Neoplasms,3.9746851921081534,train,phenelzine
Amlodipine,Lung Neoplasms,3.9738845825195312,test,amlodipine
Carbamazepine,Stomach Neoplasms,3.969773530960083,test,carbamazepine
Ketamine,Lung Neoplasms,3.9675076007843018,test,ketamine
Resveratrol,Melanoma,3.9670424461364746,val,resveratrol
Morphine,Lung Neoplasms,3.9651200771331783,train,morphine
Resveratrol,Urinary Bladder Neoplasms,3.96057391166687,test,resveratrol
Prednisone,Colonic Neoplasms,3.9518001079559326,test,prednisone
Nifedipine,Lung Neoplasms,3.949689149856568,test,nifedipine
Quercetin,Urinary Bladder Neoplasms,3.948462724685669,train,quercetin
Mesalamine,Lung Neoplasms,3.9470114707946777,test,mesalamine
Estradiol,Melanoma,3.946820974349976,test,estradiol
Norepinephrine,Lung Neoplasms,3.946380615234375,test,norepinephrine
Folic Acid,Lung Neoplasms,3.9455084800720215,test,folic acid
Bortezomib,Melanoma,3.944312334060669,test,bortezomib
Progesterone,Melanoma,3.941127300262451,test,progesterone
Metronidazole,Melanoma,3.939044713973999,test,metronidazole
bisphenol A,"Carcinoma, Hepatocellular",3.937551021575928,test,bisphenol a
Amphetamine,Colonic Neoplasms,3.9355413913726807,test,amphetamine
Spironolactone,Lung Neoplasms,3.935032606124878,test,spironolactone
perfluorooctanoic acid,Lung Neoplasms,3.934255123138428,test,perfluorooctanoic acid
Capsaicin,Colonic Neoplasms,3.93188214302063,test,capsaicin
Valproic Acid,"Carcinoma, Hepatocellular",3.930734872817993,test,valproic acid
Imipramine,Lung Neoplasms,3.925670862197876,test,imipramine
Amiodarone,Stomach Neoplasms,3.92476487159729,test,amiodarone
Warfarin,Colonic Neoplasms,3.922900676727295,test,warfarin
Methylprednisolone,Colonic Neoplasms,3.921911001205444,test,methylprednisolone
Thioridazine,Lung Neoplasms,3.920665979385376,test,thioridazine
Phenobarbital,Melanoma,3.915992498397827,test,phenobarbital
Hydroxyurea,Melanoma,3.913166522979736,test,hydroxyurea
Leucovorin,Urinary Bladder Neoplasms,3.909475564956665,train,leucovorin
Daunorubicin,Melanoma,3.9072580337524414,test,daunorubicin
Mitomycin,Lung Neoplasms,3.905993223190308,train,mitomycin
Pregabalin,Lung Neoplasms,3.905007123947144,test,pregabalin
Zidovudine,Melanoma,3.904325246810913,test,zidovudine
Lidocaine,Urinary Bladder Neoplasms,3.90284276008606,test,lidocaine
Trichloroethylene,Lung Neoplasms,3.902233123779297,test,trichloroethylene
Metronidazole,Urinary Bladder Neoplasms,3.901743173599243,test,metronidazole
Penicillamine,Melanoma,3.901395082473755,val,penicillamine
Minocycline,Urinary Bladder Neoplasms,3.900832414627075,test,minocycline
Amiodarone,Melanoma,3.894838571548462,test,amiodarone
Ketamine,Colonic Neoplasms,3.894813060760498,test,ketamine
Minocycline,Stomach Neoplasms,3.8938167095184326,test,minocycline
Epinephrine,Lung Neoplasms,3.890230655670166,test,epinephrine
Atorvastatin,Lung Neoplasms,3.8891656398773193,test,atorvastatin
Phenytoin,"Carcinoma, Hepatocellular",3.8878912925720215,train,phenytoin
Ceftriaxone,Melanoma,3.887683391571045,test,ceftriaxone
Aspirin,Urinary Bladder Neoplasms,3.887008666992188,train,aspirin
Docetaxel,Melanoma,3.8866684436798096,train,docetaxel
Azithromycin,Lung Neoplasms,3.885303258895874,test,azithromycin
Quercetin,Stomach Neoplasms,3.883931398391724,train,quercetin
Nitrogen Dioxide,Lung Neoplasms,3.88348126411438,train,nitrogen dioxide
Nifedipine,Urinary Bladder Neoplasms,3.8830411434173584,test,nifedipine
Niacin,Lung Neoplasms,3.88189435005188,test,niacin
Sirolimus,Lung Neoplasms,3.881288290023804,test,sirolimus
Amphotericin B,"Carcinoma, Hepatocellular",3.881006956100464,test,amphotericin b
Methadone,Stomach Neoplasms,3.8805124759674072,train,methadone
Genistein,Lung Neoplasms,3.8783135414123535,train,genistein
Vitamin B 12,Lung Neoplasms,3.8743796348571777,test,vitamin b 12
Paclitaxel,Stomach Neoplasms,3.8733296394348153,val,paclitaxel
Baclofen,Lung Neoplasms,3.87259840965271,test,baclofen
Resveratrol,Colonic Neoplasms,3.868842363357544,train,resveratrol
Phenobarbital,Colonic Neoplasms,3.8647072315216064,test,phenobarbital
Zidovudine,Urinary Bladder Neoplasms,3.8637349605560303,test,zidovudine
Carbamazepine,Colonic Neoplasms,3.863135814666748,test,carbamazepine
Capecitabine,Lung Neoplasms,3.8630917072296143,test,capecitabine
Ribavirin,Urinary Bladder Neoplasms,3.859057664871216,test,ribavirin
Carboplatin,Stomach Neoplasms,3.857495069503784,test,carboplatin
Pentazocine,Melanoma,3.857339382171631,test,pentazocine
Nifedipine,Colonic Neoplasms,3.856524705886841,test,nifedipine
Propylthiouracil,Melanoma,3.855808734893799,test,propylthiouracil
Mitoxantrone,Lung Neoplasms,3.855356931686402,test,mitoxantrone
Amphetamine,Urinary Bladder Neoplasms,3.8551764488220215,test,amphetamine
Octreotide,Lung Neoplasms,3.851686954498291,test,octreotide
Topiramate,Lung Neoplasms,3.851086378097534,test,topiramate
Sulindac,Lung Neoplasms,3.850172281265259,val,sulindac
Ritonavir,Lung Neoplasms,3.848788022994995,test,ritonavir
Linezolid,Lung Neoplasms,3.847401142120361,test,linezolid
Minocycline,Colonic Neoplasms,3.84639573097229,test,minocycline
Sumatriptan,Lung Neoplasms,3.845820188522339,test,sumatriptan
Medroxyprogesterone Acetate,Stomach Neoplasms,3.844806671142578,test,medroxyprogesterone acetate
Hydroxyurea,Colonic Neoplasms,3.8432443141937256,val,hydroxyurea
Carmustine,Stomach Neoplasms,3.8373515605926514,test,carmustine
Nifedipine,Stomach Neoplasms,3.836624383926392,test,nifedipine
Flutamide,Lung Neoplasms,3.835566282272339,test,flutamide
Theophylline,Lung Neoplasms,3.835463523864746,val,theophylline
Clarithromycin,Melanoma,3.834142208099365,test,clarithromycin
Propranolol,Stomach Neoplasms,3.833977460861206,test,propranolol
Pentoxifylline,Melanoma,3.8326704502105713,test,pentoxifylline
Levonorgestrel,Melanoma,3.8300256729125977,test,levonorgestrel
Dibutyl Phthalate,Lung Neoplasms,3.829639196395874,test,dibutyl phthalate
Crack Cocaine,Lung Neoplasms,3.829146385192871,test,crack cocaine
Vitamin B 12,Melanoma,3.824581861495972,test,vitamin b 12
Clarithromycin,Lung Neoplasms,3.82445240020752,test,clarithromycin
Ozone,Colonic Neoplasms,3.821288824081421,test,ozone
bisphenol A,Melanoma,3.820306301116944,test,bisphenol a
Streptozocin,Stomach Neoplasms,3.818896532058716,test,streptozocin
Tobramycin,Lung Neoplasms,3.818089485168457,test,tobramycin
Carboplatin,"Carcinoma, Hepatocellular",3.8180007934570312,test,carboplatin
Oxygen,Lung Neoplasms,3.817061901092529,train,oxygen
Doxorubicin,"Carcinoma, Hepatocellular",3.81627368927002,train,doxorubicin
Cimetidine,Stomach Neoplasms,3.815552234649658,train,cimetidine
Indinavir,Lung Neoplasms,3.8094441890716553,test,indinavir
Ribavirin,"Carcinoma, Hepatocellular",3.8093066215515137,test,ribavirin
puerarin,Lung Neoplasms,3.8082194328308105,test,puerarin
Penicillamine,Stomach Neoplasms,3.807126760482788,test,penicillamine
Tobramycin,Melanoma,3.80291748046875,test,tobramycin
Cocaine,Glioblastoma,3.802812814712525,test,cocaine
Amphetamine,Melanoma,3.800656080245972,test,amphetamine
Carmustine,Urinary Bladder Neoplasms,3.800278425216675,test,carmustine
Zidovudine,Lung Neoplasms,3.800251245498657,val,zidovudine
Ascorbic Acid,Lung Neoplasms,3.7998530864715576,val,ascorbic acid
Lamotrigine,Lung Neoplasms,3.799656629562378,test,lamotrigine
Pentazocine,Colonic Neoplasms,3.7993240356445312,test,pentazocine
Amikacin,Lung Neoplasms,3.798457384109497,test,amikacin
glyphosate,Lung Neoplasms,3.796720027923584,test,glyphosate
Ciprofloxacin,Urinary Bladder Neoplasms,3.795773506164551,train,ciprofloxacin
Primidone,Lung Neoplasms,3.7950732707977295,test,primidone
Estrogens,Stomach Neoplasms,3.7942800521850586,test,estrogens
Probenecid,Lung Neoplasms,3.789839744567871,test,probenecid
Ofloxacin,Melanoma,3.785187959671021,test,ofloxacin
Ethinyl Estradiol,Lung Neoplasms,3.783215284347534,test,ethinyl estradiol
Zidovudine,Stomach Neoplasms,3.7826974391937256,val,zidovudine
Progesterone,Lung Neoplasms,3.782559871673584,test,progesterone
Dextropropoxyphene,Lung Neoplasms,3.782407760620117,test,dextropropoxyphene
Nifedipine,Melanoma,3.780915260314941,test,nifedipine
Procainamide,Melanoma,3.779398202896118,test,procainamide
Carbimazole,Lung Neoplasms,3.7778162956237793,test,carbimazole
Zinc Sulfate,Lung Neoplasms,3.7777626514434814,test,zinc sulfate
Furosemide,Urinary Bladder Neoplasms,3.777683973312378,test,furosemide
Prednisone,Melanoma,3.776289224624634,test,prednisone
Nicotine,Stomach Neoplasms,3.773582935333252,train,nicotine
Vindesine,Lung Neoplasms,3.773248195648194,train,vindesine
Pentoxifylline,Lung Neoplasms,3.772161722183228,test,pentoxifylline
perfluorooctanoic acid,"Carcinoma, Hepatocellular",3.7713563442230233,train,perfluorooctanoic acid
Hydroxyurea,Stomach Neoplasms,3.7705953121185294,test,hydroxyurea
Erythromycin,Lung Neoplasms,3.769972324371338,test,erythromycin
Ofloxacin,Lung Neoplasms,3.769310474395752,test,ofloxacin
Amphotericin B,Stomach Neoplasms,3.769055366516113,test,amphotericin b
Pseudoephedrine,Lung Neoplasms,3.7690393924713135,test,pseudoephedrine
Metronidazole,Colonic Neoplasms,3.765547275543213,train,metronidazole
Azathioprine,Urinary Bladder Neoplasms,3.763381958007813,train,azathioprine
Acetylcysteine,Melanoma,3.763271808624268,test,acetylcysteine
Docetaxel,Urinary Bladder Neoplasms,3.7632625102996826,train,docetaxel
Nicotine,Urinary Bladder Neoplasms,3.761117458343506,train,nicotine
Rimonabant,Lung Neoplasms,3.7609105110168457,test,rimonabant
Carbamazepine,Urinary Bladder Neoplasms,3.7598392963409424,test,carbamazepine
Ozone,Lung Neoplasms,3.759487390518189,train,ozone
Simvastatin,Stomach Neoplasms,3.757918119430542,test,simvastatin
Cyclosporine,Colonic Neoplasms,3.757308006286621,test,cyclosporine
Quercetin,Colonic Neoplasms,3.756176710128784,train,quercetin
Acetazolamide,Lung Neoplasms,3.755747556686402,test,acetazolamide
Tretinoin,Melanoma,3.755291223526001,train,tretinoin
Acrylamide,Lung Neoplasms,3.754972457885742,test,acrylamide
Phenytoin,Glioblastoma,3.754727840423584,test,phenytoin
Pioglitazone,Lung Neoplasms,3.75373101234436,test,pioglitazone
Procainamide,Lung Neoplasms,3.752309799194336,test,procainamide
Amisulpride,Lung Neoplasms,3.751363039016724,test,amisulpride
Oxytocin,Lung Neoplasms,3.7513043880462646,test,oxytocin
Clofibrate,Lung Neoplasms,3.7511587142944336,test,clofibrate
Azathioprine,"Carcinoma, Hepatocellular",3.750487089157105,train,azathioprine
perfluorooctane sulfonic acid,Lung Neoplasms,3.749692678451538,test,perfluorooctane sulfonic acid
Midazolam,Lung Neoplasms,3.749436378479004,test,midazolam
Nicotine,Colonic Neoplasms,3.7490932941436768,train,nicotine
Busulfan,Lung Neoplasms,3.7487447261810303,test,busulfan
Doxorubicin,Esophageal Neoplasms,3.7473182678222656,val,doxorubicin
Prednisone,Urinary Bladder Neoplasms,3.7471108436584473,train,prednisone
Rosiglitazone,Lung Neoplasms,3.743363380432129,train,rosiglitazone
Penicillamine,Colonic Neoplasms,3.743312120437622,test,penicillamine
Vancomycin,Melanoma,3.743299007415772,train,vancomycin
Amphotericin B,Colonic Neoplasms,3.739625930786133,test,amphotericin b
Leucovorin,Melanoma,3.738473892211914,test,leucovorin
Melatonin,Melanoma,3.73749303817749,test,melatonin
Gemcitabine,Stomach Neoplasms,3.736387491226196,test,gemcitabine
Amiodarone,Colonic Neoplasms,3.736071348190308,test,amiodarone
Amiodarone,Urinary Bladder Neoplasms,3.734805107116699,test,amiodarone
Azacitidine,Lung Neoplasms,3.7343087196350098,val,azacitidine
Olanzapine,Lung Neoplasms,3.7336080074310303,test,olanzapine
Cyclophosphamide,Melanoma,3.733365297317505,train,cyclophosphamide
Dopamine,Lung Neoplasms,3.7332468032836914,test,dopamine
Chloramphenicol,Melanoma,3.732388734817505,test,chloramphenicol
Daunorubicin,Lung Neoplasms,3.7319822311401367,test,daunorubicin
Paclitaxel,"Carcinoma, Hepatocellular",3.7310659885406494,train,paclitaxel
Cefotaxime,Melanoma,3.7287755012512207,test,cefotaxime
Cytarabine,Colonic Neoplasms,3.7277002334594727,test,cytarabine
Methotrexate,Glioblastoma,3.727090835571289,test,methotrexate
Carmustine,Colonic Neoplasms,3.7254228591918954,val,carmustine
Cyclophosphamide,Urinary Bladder Neoplasms,3.724408864974976,train,cyclophosphamide
Clarithromycin,Colonic Neoplasms,3.719725608825684,test,clarithromycin
Ceftriaxone,Urinary Bladder Neoplasms,3.7195913791656494,test,ceftriaxone
Bupropion,Lung Neoplasms,3.7193443775177,test,bupropion
Etoposide,Stomach Neoplasms,3.718838930130005,test,etoposide
Etoposide,Colonic Neoplasms,3.718593120574951,test,etoposide
Heroin,Lung Neoplasms,3.716836214065552,test,heroin
Cyclosporine,Urinary Bladder Neoplasms,3.715545654296875,test,cyclosporine
Curcumin,Lung Neoplasms,3.714559316635132,train,curcumin
Bortezomib,Lung Neoplasms,3.7143394947052,test,bortezomib
Gabapentin,Lung Neoplasms,3.7135958671569824,val,gabapentin
Ascorbic Acid,Melanoma,3.7120304107666016,test,ascorbic acid
Methimazole,Lung Neoplasms,3.711621046066284,test,methimazole
Thalidomide,Urinary Bladder Neoplasms,3.711281061172485,test,thalidomide
Citalopram,Lung Neoplasms,3.711128473281861,test,citalopram
Acetaminophen,Stomach Neoplasms,3.710929393768311,test,acetaminophen
montelukast,Lung Neoplasms,3.710097551345825,test,montelukast
Homocysteine,Lung Neoplasms,3.707785367965698,test,homocysteine
Amoxicillin-Potassium Clavulanate Combination,Lung Neoplasms,3.7072267532348633,test,amoxicillin-potassium clavulanate combination
Tetracycline,Melanoma,3.705946445465088,test,tetracycline
Mesna,Lung Neoplasms,3.70521879196167,train,mesna
Ciprofloxacin,Stomach Neoplasms,3.702859401702881,test,ciprofloxacin
Methadone,"Carcinoma, Hepatocellular",3.701629400253296,test,methadone
Estrogens,Colonic Neoplasms,3.6998848915100098,test,estrogens
Sunitinib,Lung Neoplasms,3.699263572692871,test,sunitinib
Azathioprine,Colonic Neoplasms,3.698244094848633,train,azathioprine
Mitoxantrone,Melanoma,3.697931051254273,test,mitoxantrone
Hydrochlorothiazide,Lung Neoplasms,3.6977155208587646,test,hydrochlorothiazide
Dexamethasone,Stomach Neoplasms,3.697662591934204,test,dexamethasone
Niacin,Melanoma,3.697582483291626,test,niacin
nimesulide,Lung Neoplasms,3.696450471878052,test,nimesulide
Venlafaxine Hydrochloride,Melanoma,3.696020126342773,test,venlafaxine hydrochloride
Mitomycin,Stomach Neoplasms,3.695324420928955,val,mitomycin
Amphotericin B,Urinary Bladder Neoplasms,3.694881439208984,test,amphotericin b
Vinblastine,Lung Neoplasms,3.693850040435791,test,vinblastine
Ibuprofen,Stomach Neoplasms,3.693466901779175,test,ibuprofen
Methamphetamine,Urinary Bladder Neoplasms,3.6931962966918954,test,methamphetamine
Docetaxel,Colonic Neoplasms,3.6925606727600098,train,docetaxel
Methylprednisolone,Melanoma,3.690695524215698,test,methylprednisolone
Methamphetamine,Melanoma,3.6882307529449454,test,methamphetamine
Dexamethasone,Urinary Bladder Neoplasms,3.687807321548462,test,dexamethasone
Thalidomide,"Carcinoma, Hepatocellular",3.687705993652344,train,thalidomide
Naloxone,Lung Neoplasms,3.687057733535767,test,naloxone
Methotrexate,Adenocarcinoma of Lung,3.6868817806243896,val,methotrexate
Aspirin,"Carcinoma, Hepatocellular",3.685455560684204,test,aspirin
Resveratrol,"Carcinoma, Hepatocellular",3.685434103012085,train,resveratrol
Resveratrol,Stomach Neoplasms,3.685268878936768,val,resveratrol
Capsaicin,"Carcinoma, Hepatocellular",3.6850736141204834,test,capsaicin
Capecitabine,Melanoma,3.684458494186402,test,capecitabine
Cyclophosphamide,Stomach Neoplasms,3.68402624130249,test,cyclophosphamide
Deferoxamine,Stomach Neoplasms,3.683950901031494,test,deferoxamine
Methyldopa,Melanoma,3.682713031768799,test,methyldopa
Furosemide,Lung Neoplasms,3.681227207183838,test,furosemide
Caffeine,Colonic Neoplasms,3.68092942237854,train,caffeine
vinclozolin,Lung Neoplasms,3.679673194885254,test,vinclozolin
Morphine,Melanoma,3.679666042327881,test,morphine
Pentazocine,Stomach Neoplasms,3.678056001663208,test,pentazocine
Epinephrine,Urinary Bladder Neoplasms,3.677316904067993,test,epinephrine
